id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_letter,correct_answer,explanation,source_line
q019,safety,beginner,Which extinguisher type is commonly suitable for energized electrical fires?,CO₂,Water jet,Water extinguisher while supply remains energized,Wet-chemical extinguisher intended for cooking oils,A,CO₂,CO₂ is non-conductive and commonly used for electrical fires. Always follow local fire guidance.,429
q020,safety,journeyman,What should you do before trusting a voltage tester?,Shake it,Test on a known live source,Wash it with water,Set it to amps,B,Test on a known live source,Prove the tester on a known live source before and after testing for dead.,451
q021,safety,beginner,Why are loose terminals dangerous?,They create heat and arcing risk,They reduce voltage only,They improve power factor,They make RCD unnecessary,A,They create heat and arcing risk,"Loose connections create resistance, heat, arcing, and fire risk.",472
q022,safety,beginner,"If a person is still in contact with live electricity, what should you do first?",Pull them with bare hands,Pour water,Apply ointment,Turn off supply or separate using insulated means,D,Turn off supply or separate using insulated means,Do not touch the victim directly. Isolate power or use insulated means to separate them.,493
q023,safety,beginner,Which PPE item helps protect against eye injury while drilling or working in panels?,Safety glasses,Hearing protection,Safety footwear,Insulating mat,A,Safety glasses,Safety glasses protect eyes from debris and arc/flash hazards depending on work.,515
q024,safety,journeyman,What is wrong with replacing a tripping breaker with a larger one without investigation?,It improves safety,It may overload the cable and cause fire,It lowers current,It improves earthing,B,It may overload the cable and cause fire,Breakers protect cables. Oversizing can allow dangerous overheating.,537
q025,safety,journeyman,Which conductor must not be used as a normal load-carrying neutral?,Protective earth,Phase,Neutral,Switched live,A,Protective earth,"Protective earth is for fault current path, not normal load current.",560
q026,safety,journeyman,What does a 30 mA RCD commonly indicate?,Overload setting,Cable size,Residual current trip sensitivity,Frequency,C,Residual current trip sensitivity,30 mA is a common residual-current sensitivity for additional shock protection.,578
q027,safety,beginner,What is the safest assumption about unknown conductors?,They are dead,They are live until tested and proven dead,They are earth wires,They are low current,B,They are live until tested and proven dead,Treat unknown conductors as live until isolated and verified.,599
q028,safety,beginner,Why should water not be used on energized electrical fires?,It is too cold,It makes smoke darker,It reduces oxygen too fast,It can conduct electricity and cause shock,D,It can conduct electricity and cause shock,Water can conduct current and create shock risk. Isolate power and use suitable extinguisher.,620
q029,safety,journeyman,Which rating should be checked on a multimeter for panel work?,CAT rating,Screen color,Brand logo,Weight,A,CAT rating,CAT rating indicates suitability for electrical transient environments.,641
q030,safety,journeyman,A circuit is switched off but not locked. What is the risk?,No risk exists,Voltage doubles,Someone may re-energize it unexpectedly,RCD stops working,C,Someone may re-energize it unexpectedly,"Without lockout/tagout, another person can switch it back on.",658
q031,circuits,beginner,"In a series circuit, what is the same through all components?",Voltage,Current,Resistance,Power factor,B,Current,Series components carry the same current.,679
q032,circuits,beginner,"In a parallel circuit, what is common across each branch?",Current,Resistance,Voltage,Cable length,C,Voltage,Parallel branches share the same voltage across the supply points.,694
q033,circuits,beginner,What is Pakistan mains frequency normally?,25 Hz,50 Hz,60 Hz,400 Hz,B,50 Hz,Pakistan mains supply is normally 50 Hz.,710
q034,circuits,journeyman,"In a star-connected three-phase system, how is line voltage related to phase voltage?",Phase voltage,Phase voltage / 3,√3 × phase voltage,3 × current,C,√3 × phase voltage,"In star connection, Vline = √3 × Vphase.",725
q035,circuits,journeyman,What fault type occurs when live conductor contacts earth or exposed metalwork?,Open circuit,Normal load,High power factor,Earth fault,D,Earth fault,An earth fault provides unintended current path to earth/exposed conductive parts.,746
q036,circuits,journeyman,Why is three-phase power useful for motors?,No current flows,It removes need for protection,It creates a rotating magnetic field,It works only with DC,C,It creates a rotating magnetic field,Three-phase supply naturally creates a rotating magnetic field for motors.,768
q037,circuits,journeyman,What does RMS value represent for AC?,Average color of waveform,Maximum peak only,Frequency ratio,Equivalent DC heating value,D,Equivalent DC heating value,RMS is the equivalent DC value producing same heating effect.,789
q038,circuits,journeyman,What happens to total resistance when more resistors are added in parallel?,It decreases,It increases,It always becomes zero,It equals largest resistor,A,It decreases,Adding parallel branches provides more current paths and reduces total resistance.,810
q039,circuits,beginner,What is an open circuit?,Unintended high-current path,Earth leakage only,Perfect conductor,Broken/incomplete path preventing current,D,Broken/incomplete path preventing current,"An open circuit is an incomplete path, so normal current cannot flow.",832
q040,circuits,journeyman,What does phase sequence affect most directly?,Color of neutral wire,Battery capacity,Direction of three-phase motor rotation,LED brightness only,C,Direction of three-phase motor rotation,Changing phase sequence reverses many three-phase motors.,853
q041,circuits,journeyman,What is the main reason for balancing three-phase loads?,To eliminate voltage,To reduce imbalance and neutral current,To remove earth wire,To make all breakers same brand,B,To reduce imbalance and neutral current,"Load balancing reduces phase imbalance, neutral current, and transformer stress.",873
q042,circuits,journeyman,Where is Kirchhoff's Current Law applied?,Circuit junction/node,A closed circuit loop,A magnetic core,A waveform peak,A,Circuit junction/node,KCL states current entering a node equals current leaving it.,894
q043,circuits,beginner,Which wire color is commonly used internationally for protective earth?,Blue,Brown only,Green/yellow,Black only,C,Green/yellow,Green/yellow is commonly used for protective earth under IEC-style color coding.,915
q044,circuits,master,What is short circuit current usually limited by?,Load energy consumption,Loop/source impedance,Supply frequency,Power factor alone,B,Loop/source impedance,Fault current is largely limited by source and loop impedance.,932
q045,circuits,journeyman,"In the two-way staircase wiring diagram, which conductors connect the two switches?",Earth only,Neutral only,Traveller wires,Battery leads,C,Traveller wires,Two-way switches use traveller conductors between L1/L2 terminals.,953
q046,calculations,journeyman,Approximately how much current does a 1000 W heater draw at 230 V?,0.23 A,2.3 A,4.35 A,23 A,C,4.35 A,I = P / V = 1000 / 230 ≈ 4.35 A.,975
q047,calculations,beginner,How much current flows when 12 V is applied across 6 Ω?,0.5 A,6 A,72 A,2 A,D,2 A,I = V / R = 12 / 6 = 2 A.,991
q048,calculations,journeyman,Which formula gives balanced three-phase real power?,P = V/I,P = R/V,P = √3 × V × I × PF,P = Ah × V only,C,P = √3 × V × I × PF,"For balanced three-phase AC, P = √3 × line voltage × line current × power factor.",1006
q049,calculations,journeyman,What apparent power is required by a 10 kW load at power factor 0.8?,8 kVA,10 kVA,18 kVA,12.5 kVA,D,12.5 kVA,kVA = kW / PF = 10 / 0.8 = 12.5 kVA.,1022
q050,calculations,master,"If current is 20 A, one-way length is 30 m, and resistance is 7.41 Ω/km, what is the approximate single-phase voltage drop?",0.89 V,8.89 V,44.5 V,230 V,B,8.89 V,VD = 2 × 20 × 30 × 7.41 / 1000 ≈ 8.89 V.,1038
q051,calculations,journeyman,How much current does a 5 kW single-phase load draw at 230 V and power factor 1?,2.17 A,50 A,1150 A,21.7 A,D,21.7 A,I = 5000 / 230 ≈ 21.7 A.,1054
q052,calculations,master,"Approximately what current does a 7.5 kW motor draw at 400 V, power factor 0.85, and 90% efficiency?",4 A,14 A,40 A,140 A,B,14 A,I ≈ 7500 / (1.732×400×0.85×0.9) ≈ 14 A.,1070
q053,calculations,beginner,What is 10 HP approximately in kW?,0.746 kW,13.4 kW,746 kW,7.46 kW,D,7.46 kW,kW = HP × 0.746 = 10 × 0.746 = 7.46 kW.,1086
q054,calculations,beginner,What is 7.46 kW approximately in HP?,1 HP,5 HP,10 HP,100 HP,C,10 HP,HP = kW / 0.746 = 7.46 / 0.746 ≈ 10 HP.,1101
q055,calculations,journeyman,"For a voltage divider with equal resistors and 12 V input, what is the output voltage?",0 V,12 V,24 V,6 V,D,6 V,"Equal R1 and R2 divide voltage equally, so Vout = 6 V.",1116
q056,calculations,beginner,A 60 W lamp replaced by 10 W LED saves how many watts per lamp?,50 W,10 W,60 W,70 W,A,50 W,Saved power = 60 - 10 = 50 W per lamp.,1132
q057,calculations,master,"If fault-loop impedance is 0.2 Ω on 230 V, what is the prospective fault current?",46 A,115 A,1150 A,2300 A,C,1150 A,Isc = V / Z = 230 / 0.2 = 1150 A.,1148
q058,calculations,journeyman,What is the THD when harmonic RMS current is 12 A and fundamental RMS current is 100 A?,12%,1.2%,88%,112%,A,12%,THD = harmonic RMS / fundamental × 100 = 12%.,1164
q059,calculations,journeyman,"At 100% usable capacity, approximately what battery capacity is required for 5 kWh at 48 V?",10 Ah,104 Ah,52 Ah,5000 Ah,B,104 Ah,Ah = Wh / V = 5000 / 48 ≈ 104 Ah before DoD/efficiency margins.,1180
q060,calculations,master,Which formula is used for adiabatic protective-conductor sizing?,S = I√t/k,P = V/I,R = V×I,Ah = W/V only,A,S = I√t/k,Protective conductor adiabatic sizing uses S = I × √t / k.,1197
q061,motors,beginner,What does DOL stand for in motor starting?,Dual Output Load,Direct On Line,Delayed Open Line,Drive Overload Link,B,Direct On Line,DOL means Direct-On-Line starting.,1214
q062,motors,journeyman,Approximately what starting current is typical for a motor started direct-on-line?,0.1× FLC,1× FLC,6–8× FLC,100× FLC always,C,6–8× FLC,DOL starting current can commonly be 6–8 times full-load current.,1234
q063,motors,journeyman,What device protects a motor from sustained overload?,Contactor main contacts,Short-circuit fuse only,Manual isolator only,Overload relay,D,Overload relay,Overload relays trip when motor current exceeds set value for too long.,1251
q064,motors,journeyman,What should a motor overload-relay setting normally be based on?,Upstream breaker frame size only,Motor nameplate full-load current,Starter enclosure size only,Conductor identification only,B,Motor nameplate full-load current,Set overload according to motor nameplate FLC and manufacturer instructions.,1272
q065,motors,master,What does a VFD mainly control to change AC motor speed?,Frequency and voltage,Earth resistance only,Wire color,Fuse brand,A,Frequency and voltage,VFD changes output frequency and voltage to control motor speed.,1294
q066,motors,journeyman,What is synchronous speed for a 4-pole motor at 50 Hz?,750 rpm,1500 rpm,1000 rpm,3000 rpm,B,1500 rpm,Ns = 120f/P = 120×50/4 = 1500 rpm.,1315
q067,motors,journeyman,What is the condition called when one phase is missing from a three-phase motor supply?,Power factoring,Neutral balancing,Single phasing,Loop testing,C,Single phasing,Single phasing can overheat and damage a three-phase motor.,1330
q068,motors,master,Which connection is used first during conventional star-delta starting?,Delta then star,DC then AC,Reverse only,Star then delta,D,Star then delta,Star-delta starters start in star and transition to delta for running.,1352
q069,motors,master,Why must star and delta contactors be interlocked?,To change wire color,To prevent both closing together and causing a short circuit,To remove overload relay,To reduce label size,B,To prevent both closing together and causing a short circuit,Star and delta contactors must never be energized together.,1374
q070,motors,journeyman,What can wrong phase sequence cause on a three-phase motor?,Reverse rotation,Zero slip at full load,Lower supply frequency,Higher insulation resistance,A,Reverse rotation,Swapping two phases reverses many three-phase motors.,1395
q071,motors,journeyman,Which contact is usually in the STOP button circuit?,Normally open only,Earth electrode,Timer coil,Normally closed,D,Normally closed,STOP buttons are usually normally closed so pressing/opening stops the control circuit.,1415
q072,motors,journeyman,"In the DOL starter diagram, which component switches the three motor phases?",Contactor,Overload relay,Control transformer,Manual isolator,A,Contactor,The contactor switches the three-phase motor supply in a DOL starter.,1436
q073,motors,journeyman,Which motor fault is often indicated by excessive vibration and noise?,Perfect power factor,Correct labeling,Bearing/mechanical problem,Low tariff,C,Bearing/mechanical problem,"Vibration and noise often point to bearing, alignment, imbalance, or mechanical issues.",1458
q074,motors,master,What should be checked before selecting a VFD for an existing motor?,Motor insulation suitability and nameplate data,Supply voltage only,Motor cable length only,Panel enclosure size only,A,Motor insulation suitability and nameplate data,"Motor rating, insulation, load, environment, and cable/EMC needs should be checked.",1480
q075,motors,master,Which starter is best suited for direction reversal using two interlocked contactors?,DOL starter,Star-delta starter,Soft starter without reversing contactors,Reverse-forward starter,D,Reverse-forward starter,Forward/reverse starters swap two phases using interlocked contactors.,1502
q076,solar,beginner,What type of electricity do PV panels produce?,AC directly only,DC,No voltage,Only reactive power,B,DC,Solar PV panels produce DC electricity.,1524
q077,solar,journeyman,What does MPPT stand for?,Manual Phase Protection Trip,Main Panel Polarity Test,Motor Power Protection Timer,Maximum Power Point Tracking,D,Maximum Power Point Tracking,MPPT means Maximum Power Point Tracking.,1539
q078,solar,journeyman,Which side of a solar system can remain energized in daylight even if AC is off?,PV DC side,Battery terminals only,Inverter AC output only,Monitoring communication link only,A,PV DC side,PV DC strings can remain live whenever illuminated.,1559
q079,solar,master,What does a grid-tie inverter require to protect utility workers during outage?,Bigger fan only,No earthing,Open neutral,Anti-islanding protection,D,Anti-islanding protection,Anti-islanding disconnects inverter output when grid supply is lost.,1580
q080,solar,journeyman,What does DoD mean for batteries?,Depth of Discharge,Direction of Diode,Drop of Distribution,Duty of Device,A,Depth of Discharge,DoD is the portion of battery capacity used/discharged.,1603
q081,solar,master,Why must PV string Voc be checked?,To determine AC output frequency,To eliminate the need for a DC isolator,To ensure it does not exceed inverter maximum DC voltage,To calculate battery ampere-hours,C,To ensure it does not exceed inverter maximum DC voltage,Cold/bright conditions can raise Voc; it must remain within inverter limits.,1623
q082,solar,journeyman,What is the purpose of a DC isolator in a PV system?,Increase tariff,Reduce roof load only,Change AC frequency,Safely disconnect PV DC supply,D,Safely disconnect PV DC supply,DC isolators provide a rated means of isolating PV DC circuits.,1644
q083,solar,journeyman,Which protection is commonly used for PV string overcurrent where required?,DC-rated fuse/breaker,AC-only miniature circuit breaker,RCD intended for AC residual current,Surge protective device only,A,DC-rated fuse/breaker,PV protection devices must be DC rated for the circuit voltage/current.,1665
q084,solar,master,What sources and loads does a typical hybrid inverter system connect?,"PV and grid only, with no storage or backup output","PV, battery, grid/generator, and backup loads","Battery and loads only, with no charging source","A generator only, with no load output",B,"PV, battery, grid/generator, and backup loads","Hybrid systems combine PV, battery storage, grid/generator input, and selected loads.",1687
q085,solar,journeyman,What should be separated in hybrid systems for backup planning?,Red and blue labels only,Old and new screws,Essential and non-essential loads,North and south walls only,C,Essential and non-essential loads,Essential loads should be separated so backup output is not overloaded.,1709
q086,solar,journeyman,Which meter supports crediting exported solar energy in grid-tie systems?,Import-only energy meter,Bi-directional/net meter,Clamp ammeter,Voltmeter,B,Bi-directional/net meter,Net metering uses a suitable meter to measure import/export energy.,1731
q087,solar,journeyman,"In the grid-tie solar diagram, which device converts PV DC to synchronized grid AC?",Grid-tie inverter,Solar charge controller,DC combiner box,Bi-directional energy meter,A,Grid-tie inverter,The inverter converts PV DC into synchronized AC for grid connection.,1754
q088,solar,journeyman,Why are battery terminals a short-circuit hazard?,They have no voltage,They are always AC,They stop all current,Batteries can deliver very high current,D,Batteries can deliver very high current,Battery banks can deliver extremely high fault current; use DC-rated protection.,1776
q089,solar,beginner,What can shading on one PV string cause?,Higher grid frequency,Better insulation,Reduced output and mismatch losses,No current forever,C,Reduced output and mismatch losses,Shading reduces output and can create mismatch losses.,1797
q090,solar,journeyman,Which device protects sensitive solar electronics from transient surges?,MCB for overcurrent protection,SPD,RCD for residual-current protection,DC isolator,B,SPD,Surge protection devices reduce transient overvoltage risk when correctly installed/earthed.,1817
q091,standards,beginner,What is the safest way to use PEC/local code information in this app?,As final legal approval,As educational reference that must be verified with latest official requirements,As a general reference without checking the adopted edition,As a replacement for manufacturer instructions,B,As educational reference that must be verified with latest official requirements,App content is educational; final work must follow current official standards and authority requirements.,1839
q092,standards,beginner,Who should verify final utility connection requirements in Pakistan?,"Relevant DISCO, K-Electric, regulator, or local authority",Equipment retailer,Previous project documents without rechecking,Online discussion forum,A,"Relevant DISCO, K-Electric, regulator, or local authority","Utility connection, metering, and approval requirements must be verified with the responsible DISCO, K-Electric, regulator, or local authority.",1862
q093,standards,beginner,Who should perform or supervise electrical installations where required by law/code?,Property owner regardless of competence,Qualified/licensed person,Equipment supplier,Unsupervised trainee,B,Qualified/licensed person,Electrical work should be done by competent/licensed persons as required by local rules.,1885
q094,standards,journeyman,Where should current Pakistan grid-tie and net-metering approval requirements be verified?,Installer experience from a previous project,Equipment supplier approval only,Relevant DISCO/NEPRA process and latest rules,A previous customer’s approval,C,Relevant DISCO/NEPRA process and latest rules,Grid-tie/net metering requires compliance with current utility/regulatory process.,1908
q095,standards,beginner,K-Electric-specific service or metering requirements apply mainly to which area?,All of Pakistan regardless of service provider,Any off-grid system worldwide,Every country using IEC standards,Karachi/service territory,D,Karachi/service territory,"K-Electric requirements apply in its service territory, mainly Karachi and surrounding areas.",1931
q096,standards,journeyman,"Why should manufacturer instructions be followed with breakers, RCDs, inverters, and ATS panels?",They replace all testing,They are optional artwork,"They define safe ratings, wiring, settings, and limitations",They lower voltage automatically,C,"They define safe ratings, wiring, settings, and limitations",Manufacturer instructions are part of correct installation and safe operation.,1954
q097,standards,journeyman,Which document/source should be considered authoritative for current legal requirements?,An older superseded edition,A manufacturer brochure only,An app summary without source verification,Latest official code/authority document,D,Latest official code/authority document,Always use the latest official documents and authority guidance for compliance.,1977
q098,standards,beginner,Why are labels important in DBs and solar/generator systems?,They increase current,"They help safe isolation, maintenance, and emergency response",They replace earth wire,They remove PPE need,B,"They help safe isolation, maintenance, and emergency response","Clear labels reduce mistakes during isolation, troubleshooting, and emergencies.",2000
q099,standards,journeyman,What is a good practice before energizing a new circuit?,"Inspect and test continuity, insulation, polarity, and protection",Guess and switch on,Bypass breaker,Remove earth,A,"Inspect and test continuity, insulation, polarity, and protection",Pre-energization testing helps catch dangerous mistakes before power is applied.,2021
q100,standards,journeyman,Why should cable sizing be verified with code tables?,All cables carry infinite current,Color alone defines ampacity,Breakers always protect any cable,"Installation method, grouping, ambient temperature, and insulation affect ampacity",D,"Installation method, grouping, ambient temperature, and insulation affect ampacity",Cable capacity depends on installation conditions and must be checked against tables/standards.,2043
q101,standards,journeyman,"In the distribution-board diagram, what should every outgoing circuit have?",Clear label and suitable protective device,No breaker,Shared random neutral,Disconnected earth,A,Clear label and suitable protective device,DB circuits should be correctly protected and clearly labeled.,2065
q102,standards,master,Why is backfeeding the utility from a generator dangerous?,It improves safety,It lowers fuel use only,It can energize lines and endanger workers/public,It charges batteries automatically,C,It can energize lines and endanger workers/public,Backfeed can energize utility lines; proper transfer equipment prevents it.,2088
q103,standards,journeyman,Which installations commonly require special approval/coordination with utility?,Replacing a like-for-like lamp within an existing circuit,Grid-tie solar and service connection changes,Routine visual cleaning with no electrical alteration,Updating a local circuit label only,B,Grid-tie solar and service connection changes,Utility-interactive systems and service changes require authority coordination.,2110
q104,standards,master,Why are RCD types important for inverter/electronic loads?,All RCDs are identical,RCD type changes cable color,Some loads create DC/pulsed leakage requiring suitable RCD type,It removes need for earthing,C,Some loads create DC/pulsed leakage requiring suitable RCD type,Electronic loads may need specific RCD types; follow manufacturer/code guidance.,2133
q105,standards,beginner,What should be done if app guidance conflicts with latest official requirements?,Follow latest official requirement and qualified professional judgment,Follow app blindly,Follow an older project note,Follow equipment marketing material,A,Follow latest official requirement and qualified professional judgment,Official current requirements and competent professional judgment take priority.,2155
q106,master,master,Why is protection coordination important?,It makes wires invisible,Nearest protective device clears fault without unnecessary upstream shutdown,It removes all faults,It replaces testing,B,Nearest protective device clears fault without unnecessary upstream shutdown,Coordination/selectivity limits outage area and improves safety/continuity.,2178
q107,master,master,What may high neutral current indicate in a three-phase four-wire system supplying many nonlinear loads?,Triplen harmonics,Trip curve only,Perfect balance,No load,A,Triplen harmonics,Triplen harmonics can add in the neutral and cause overheating.,2199
q108,master,master,What is a key risk of overcorrecting power factor with capacitors?,Better safety always,No current,Lower insulation class,Leading PF/resonance issues,D,Leading PF/resonance issues,Overcorrection can create leading PF and resonance/harmonic problems.,2221
q109,master,master,"For SPD effectiveness, which installation detail is very important?",Long coiled connection leads,An undersized protective conductor,"Short, direct earth/connection leads",A remote shared connection path,C,"Short, direct earth/connection leads",Long SPD leads increase let-through voltage; keep connections short and direct.,2243
q110,master,master,What does prospective short-circuit current affect?,Load energy consumption,RCD residual-current sensitivity only,Cable identification color,Breaking capacity selection,D,Breaking capacity selection,Protective device breaking capacity must exceed available fault current.,2265
q111,master,master,"In ATS systems, what prevents utility and generator from being connected together?",Overload relay only,Electrical/mechanical interlocking and transfer logic,RCD test circuit only,Phase-sequence indicator only,B,Electrical/mechanical interlocking and transfer logic,ATS must interlock sources so they cannot parallel unintentionally.,2286
q112,master,master,What is a major EMC practice for VFD/inverter installations?,Removing earth,Bundling all signal and power randomly,"Correct shielding, grounding, and cable routing",Using undersized cable,C,"Correct shielding, grounding, and cable routing","EMC control needs correct cable routing, shielding, filters, and grounding.",2308
q113,master,master,Why is neutral-earth bonding in generator systems design-sensitive?,It affects only generator fuel use,It affects only enclosure IP rating,It is determined only by cable color,Wrong bonding can affect fault clearing and shock protection,D,Wrong bonding can affect fault clearing and shock protection,Neutral/earth arrangement affects protective device operation and touch voltage risk.,2329
q114,master,master,What is the main purpose of an earth fault loop path?,Allow sufficient fault current to disconnect protective device,Increase tariff,Stop all voltage readings,Make neutral optional,A,Allow sufficient fault current to disconnect protective device,A low-impedance fault path helps protective devices disconnect faults quickly.,2352
q115,master,master,Why should VFD output not be switched by ordinary contactors under load unless permitted?,It improves waveform,It lowers harmonics always,It increases insulation,It can damage drive/motor and create transients,D,It can damage drive/motor and create transients,Switching VFD output under load can damage equipment; follow drive manual.,2373
q116,master,master,What is discrimination/selectivity in protection?,All breakers trip together,Downstream device trips before upstream for downstream faults,No breaker trips,Only RCD test button works,B,Downstream device trips before upstream for downstream faults,Selectivity means only the protective device nearest the fault should operate where possible.,2395
q117,master,master,"In the solar DC protection diagram, which device is intended to limit transient overvoltage?",DC SPD,DC fuse,DC isolator,AC RCD,A,DC SPD,Solar DC protection commonly includes DC-rated SPD where required.,2416
q118,master,master,Why must motor reverse-forward contactors be mechanically/electrically interlocked?,To set overload current,To control motor voltage,To provide a start delay only,To prevent simultaneous closing and phase-to-phase short,D,To prevent simultaneous closing and phase-to-phase short,Both contactors closing can create a serious short circuit.,2433
q119,master,master,Which measurement tool feature is needed for distorted harmonic-rich waveforms?,Average-responding meter without True RMS,Insulation-resistance tester only,True RMS / harmonic-capable meter,Continuity buzzer only,C,True RMS / harmonic-capable meter,True RMS and harmonic measurement capability are needed for distorted waveforms.,2455
q120,master,master,What is the professional response to repeated protective device tripping?,Install larger breaker immediately,Bypass protection,Ignore it,Investigate load/fault/cable/protection coordination,D,Investigate load/fault/cable/protection coordination,"Repeated trips indicate a problem that must be diagnosed, not bypassed.",2477
q121,basics,beginner,Which formula gives DC power from voltage and current?,P = V / I,P = I / V,P = V × I,P = V + I,C,P = V × I,"For a DC or resistive circuit, electrical power in watts is voltage multiplied by current: P = V × I.",2499
q122,basics,beginner,"What is the total resistance of 2 Ω, 3 Ω, and 5 Ω connected in series?",1 Ω,5 Ω,30 Ω,10 Ω,D,10 Ω,Series resistances add directly: 2 + 3 + 5 = 10 Ω.,2515
q123,basics,journeyman,Two equal 8 Ω resistors are connected in parallel. What is their equivalent resistance?,8 Ω,4 Ω,16 Ω,64 Ω,B,4 Ω,"Two equal resistors in parallel have half the resistance of either resistor, so 8 Ω / 2 = 4 Ω.",2531
q124,basics,beginner,What does one kilowatt-hour represent?,1000 A flowing for one hour,1 V applied for 1000 hours,1000 Ω connected for one minute,1 kW of power used for one hour,D,1 kW of power used for one hour,A kilowatt-hour is energy: a 1 kW load operating for one hour uses 1 kWh.,2548
q125,basics,journeyman,"For the same material and length, what happens to conductor resistance when cross-sectional area increases?",It increases,It becomes independent of area,It decreases,It always becomes zero,C,It decreases,"R = ρL/A, so increasing conductor cross-sectional area reduces resistance when material and length are unchanged.",2569
q126,basics,beginner,When should a continuity test normally be performed?,On an energized circuit,On an isolated and proven-dead circuit,Only while a motor is running,Only after bypassing protection,B,On an isolated and proven-dead circuit,"Continuity and resistance tests are normally made on circuits that are isolated, proven dead, and discharged.",2591
q127,basics,beginner,What is the normal function of a neutral conductor in a single-phase circuit?,Replace the protective earth,Increase supply frequency,Carry return current under normal operation,Operate only during faults,C,Carry return current under normal operation,The neutral normally completes the circuit and carries load return current; it is not a substitute for protective earth.,2612
q128,basics,beginner,What is the main safety purpose of a protective earth conductor?,Carry normal load current continuously,Increase equipment power,Control motor speed,Provide a fault-current path for automatic disconnection,D,Provide a fault-current path for automatic disconnection,Protective earth connects exposed conductive parts to a fault path so protective devices can disconnect dangerous faults.,2634
q129,basics,journeyman,Approximately what is the peak value of a 230 V RMS sine-wave supply?,325 V,163 V,230 V,460 V,A,325 V,"For a sine wave, Vpeak = Vrms × √2, so 230 × 1.414 is approximately 325 V.",2656
q130,basics,journeyman,What is a key advantage of using a clamp meter to measure current?,It removes the need for isolation in every task,It measures current without opening the conductor path,It automatically tests insulation resistance,It replaces all CAT-rating requirements,B,It measures current without opening the conductor path,"A clamp meter senses the magnetic field around a conductor, allowing current measurement without inserting the meter in series.",2673
